tweet,time
"#nifty 
Jan 6 2022 
17700 - 17200 after reaching 17200 have to wait for up trend r down trend .. 
#banknifty 
Jan 6 2022
36800- {35500- 35000}
after reaching 35000 next move will  decided by  the trend ",2022-01-03T22:23:10.000Z
"Looking for Market to head higher in short term. Omicron may delay tapering, watch out for market strength.

#Nifty #BankNiftyOptions #Bullish #Breakout #bullrun #StockMarket",2022-01-03T22:23:10.000Z
"Everything is breaking out! Yes in Indian stock markets. 1000 point rally can change many narratives and perspectives, and through caution to the windows.

#investing #Nifty #BankNifty",2022-01-03T22:23:10.000Z
"Only 3 - 5% of traders are successful(can able to beat the index), yet most of the people are concerned about the brokerage.  
One will not become bankrupt due to the brokerage,  but a single trade can make you bankrupt if you don't follow the trading principle. 
#Nifty #DowJones",2022-01-03T22:23:10.000Z
"You'll be much happier when you realize that you are going to have losses and that they'll come unexpectedly.

When losses are no longer distressful, you'll start trading at a higher level.

#OptionsTrading #Nifty
#Niftybank #Bitcoin #stockmarkets #stocks",2022-01-03T22:23:10.000Z
"Future Retail, Promoters Approach Delhi High Court Against SIAC Order

Future Retail Limited and its promoters have approached the Delhi High Court against the orders passed by the SIAC related to Future-Reliance deal
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #…",2022-01-03T22:23:10.000Z
"#nifty50 has formed a long bull candle on the daily chart in a sign of a strong comeback of the bulls.

Key Level To Watch= 17,800.

Support for the #Nifty is expected at 17,450-17,500
&
Resistance at 17,900-18,000.

#StockMarket #StockMarketindia #NSE #sharemarket #stockmarkets",2022-01-03T22:23:10.000Z
"Trading, investing, momentum investing, value investing, growth investing, long-term investing, swing trading, etc. All strategies work. 

#tradingstrategy #Nifty #Niftybank #sharemarketindia",2022-01-03T22:23:10.000Z
"Apple MCap ~= GDP of India

Which one would you Buy?

#Apple #stocks #Nifty #India",2022-01-03T22:23:10.000Z
"Whats your opinion on #banknifty for tomorrow. I am expecting a gap up of around 150-200 points. Whats your expectations???
#Niftybank #nifty #sharemarket #sgxnifty
Comment .",2022-01-03T22:23:10.000Z
"Suppose if you bet on flipping a coin, such that if you lose you pay 49 if you win you get 51. Guess what... even then you will make lots of money. So find your edge. #trading #hedge #Nifty #banknifty",2022-01-03T22:23:10.000Z
"IRDAI Suggests Changes In Pay Norms Of Private Insurers' Heads

IRDAI has proposed changes in guidelines on remuneration of non-executive directors, MDs, CEOs and whole-time directors of private insurance entities
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Opti…",2022-01-03T22:23:10.000Z
"How can #Fintwit resist the urge to write about a stock that has done 7x in the last 18 months?

#Goldiam #NIFTY50 #Sensex #NIFTY",2022-01-03T22:23:10.000Z
"Ek aur Original Quote (LIKE RETWEET)
#Intraday = Behti Ganga mein Haat Dhona !
#SwingTrading = Behti Ganga mein Naav Chalana !
#Investing = Behti Ganga mein DAM banake saara paani bhar lena 
~Ankit (Investographer)
Which one do you do ? 
Comment below...
#Nifty #Niftybank",2022-01-03T22:23:10.000Z
"IRDAI Suggests Changes In Pay Norms Of Private Insurers' Heads

IRDAI has proposed changes in guidelines on remuneration of non-executive directors, MDs, CEOs and whole-time directors of private insurance entities
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Opti…",2022-01-03T18:43:59.000Z
"How can #Fintwit resist the urge to write about a stock that has done 7x in the last 18 months?

#Goldiam #NIFTY50 #Sensex #NIFTY",2022-01-03T18:43:59.000Z
"Ek aur Original Quote (LIKE RETWEET)
#Intraday = Behti Ganga mein Haat Dhona !
#SwingTrading = Behti Ganga mein Naav Chalana !
#Investing = Behti Ganga mein DAM banake saara paani bhar lena 
~Ankit (Investographer)
Which one do you do ? 
Comment below...
#Nifty #Niftybank",2022-01-03T18:43:59.000Z
2022 - My #Nifty stocks . Sequent scientific & chalet hotels . Am confident that atleast 50% upside on both these stocks . Both are having market cap less than 5000 crore  with solid promoters .,2022-01-03T18:43:59.000Z
"#Hangseng 
2007: 30500
2021: 23000

#Nikkei
1995: 26000
2021: 28500

#Shanghai
2007: 5900
2021: 3600

#KOSPI
2011: 2100
2021: 2900

#BSESensex
2000: 4000
2021: 59000

Blessed to have born in #India. 

#Nifty #Banknifty",2022-01-03T18:43:59.000Z
Someone plz stop this PNL screesnshot Tamasha  ITR ka photo dalke dikhao  #Traders #indextrading #nifty #banknifty,2022-01-03T18:43:59.000Z
"""The real money I made over the yrs is holding companies for 8, 9, 10 yrs. You got to buy when nobody wants. That’s the real secret. It sounds simple but it's hard to do"". 
-carl Icahn
#stockmarket #trading #investing #Nifty  #Sensex #Equity  #ipo",2022-01-03T18:43:59.000Z
"Want success in options trading ??

First of all come out of a trap being  an option seller or option buyer

Be a option trader. 

Fixing buying or selling is stagnation of mind and trading in comfort zone

History cannot be written in comfort zone

#Nifty #banknifty",2022-01-03T18:43:59.000Z
