tweet,time
"Last two weekly expiries I made big losses. Today my goal is to trade only when the setup permits and trade less.
#NIFTY #BANKNIFTY",2022-01-19T23:49:39.000Z
"APAC Opening Calls:
#ASX  7323  +0.03%
#NIKKEI  27550  +0.45%
#HSI  24174  +0.49%
#NIFTY  17877  -0.41%
#A50  15247  +0.35%
#TWSE  18202  +0.09%
#IGOpeningCall",2022-01-19T23:49:39.000Z
"I'm a #nifty newbie but so amazed by all these awesome projects! Sooo hard to decide which one to get first  buuuut, I'll make up my mind soon - keep an eye out for my #pfp in the coming days ",2022-01-19T23:49:39.000Z
"#nifty50 has formed long bearish candle on the daily chart, representing the continuation of a downtrend.
Two back-to-back long bearish candles indicates a trend reversal.

Support for #Nifty is expected @ 17,800-17,700
&
Resistance @ 17,950-18,100

#StockMarket #StockMarketindia",2022-01-19T23:49:39.000Z
" TODAYS RESULT 

NO. OF CALL GIVEN : 5
SUCCESS RATE         :100%

#Nifty #StockMarket #Intraday #ShareMarket
#IntradayCalls #IntradayTips #FreeIntradayCalls",2022-01-19T23:49:39.000Z
"Winner is one who has #NIFTY 

Navigation- Direction of market
Intelligence- To tackle the situation
Fear- To avoid big loss
Target- For good return
Yarn - Must have a story behind a stock.

#Market",2022-01-19T23:49:39.000Z
"#NiftyConsumerDurables Soars 1326.95 Points (4.68%) to close at 29662.15, Today's High - 29849.80, Today's Low - 29502.90 
#Stocks #Stocks #Stockmarket #StockMarkets #StockMarketUpdate #StockMarketIndia #Nifty",2022-01-19T23:49:39.000Z
"#Nifty50 Down 174.65 points (0.96%) to close at 17938.40, Today's High - 18129.20, Today's Low - 17884.90
#NSE #Nifty #StockMarkets #StockMarket #StockMarketUpdate #StockMarketIndia #Stocks #ShareBazaar",2022-01-19T23:49:39.000Z
"19Jan'22 
Everyone knows the music is about to stop but everyone keeps dancing thinking that DJ will continue to play if they dont get off the floor. Smart people have humbly left the floor and getting their cars picked by valets. Now think of music as liquidity
#Nifty #SGXNIFTY",2022-01-19T23:49:39.000Z
"For tomorrow nifty need a pool back around 18120 to 18180
#nifty50 #NIFTYFUTURE #Nifty",2022-01-19T23:49:39.000Z
"VARDHMAN ACRYLICS Q3 : Net Profit Down 33 % at Rs 9.99 cr (YOY), Up 309 % (QOQ)

Revenue Up 26 % at Rs 102 cr (YOY), Up 74 % (QOQ)

Ebitda Down 35 % at 11.18 cr (YOY), Up 3755 % (QOQ)

Margins at 10.94 % V 21.1 % (YOY), 0.5 % (QOQ)

#VardhmanAcrylics #Q3Result #nse #nifty",2022-01-19T23:49:39.000Z
"Let the index traders take the headache of #Nifty and #Banknifty movement. As an investor you should be concerned about the annual reports of the businesses that you are holding in your portfolio and how their competitors are performing. That's all.

#Investing",2022-01-19T23:49:39.000Z
"Ending this month nifty will be come down 1-17600
2nd-17376
3rd -17150
W8 for boom
#Nifty",2022-01-19T23:49:39.000Z
"most probably  a dull expiry tomorrow..
#Nifty #banknifty",2022-01-19T23:49:39.000Z
"If nifty tread tomorrow below17890 it will be gose down 
#Nifty",2022-01-19T23:49:39.000Z
"#nifty  #banknifty
One expert says market will go up.. 
Another says market will  go down... 
After 2 days both claim that the market moved as predicted by him... How come both claim be true... 
They are really fooling the retailers.. 2/n",2022-01-19T15:03:45.000Z
"#nifty #banknifty

Every Share market expert out there on Twitter is saying they are working hard to help retail investors... Coming up with tools/webinars and selling the same to pity retailers for few thousand rupees
Retailers never believe anyone... 
Believe in you   1/n",2022-01-19T15:03:45.000Z
