tweet,time
"#nifty50 has formed a small body positive candle on the daily chart with upper and lower shadows, suggesting a high wave type pattern which reflects Volatility..

The #Nifty has Support at 17,600-17,500
and
Immediate Resistance at 17,900-18,000..

#stockmarkets #StockMarketindia",2022-01-09T20:30:27.000Z
#nifty #nifty50 first let nifty stay or close above 17834 and then 17903 then we cn get 13 expiry around 18100 to 18225 for sure..Carrying 18100CE and 18200CE lots without hedge,2022-01-09T20:30:27.000Z
"Bank Nifty trading levels for 10/01/2022
Buy above 37852 (SL: 37788)
Targets:
T1 - 37934
T2 - 38032
T3 - 38129
T4 - 38227
Sell below 37604 (SL:37691)
Targets:
T1 - 37546
T2 - 37449
T3 - 37352
T4 - 37255
#NiftyBank #BANKNIFTYFUTURE
#OptionsTrading #NIFTYFUTURE #Nifty #stockmarkets",2022-01-09T20:30:27.000Z
"Stocks under F&O ban for tomorrow 10 jan

New in Ban - Delta Corp
Still in Ban - RBL Bank

#SwingTrading #Nifty #TRADINGTIPS #Trader #cryptocurrency",2022-01-09T20:30:27.000Z
"Short any of the financial markets  but DO NOT SHORT #NIFTY, #BANKNIFTY  for next few months.
Invest in India!",2022-01-09T20:30:27.000Z
"IoL Chem and Pharma Ltd.

CMP : 463
Buy : Market price or in dip upto 455
Clbs SL below: 424
Targets : 492,514 sustain above 514 will see 540,562

#iolcp #trading #investing #Nifty #stockstobuytoday #StocksToWatch #blackhuntinvestmentcalls",2022-01-09T20:30:27.000Z
Time beware of trade in #nifty n #motabhai..surprise move south possible..#bhavbhagwanche,2022-01-09T20:30:27.000Z
The last share you bought ? #sharemarket #Nifty,2022-01-09T20:30:27.000Z
"#Day10 #nifty #nifty50
#Premarketview 
Sgx nifty: 17925 (10:30 pm)
Support: 17750,17720,17640
Resistance: 17850

Nifty Maybe sideways market (NO TRADE-IN NIFTY TOMORROW till flag pattern/trend line appears at support) 
If nifty sustain  17720 and break below then selling",2022-01-09T20:30:27.000Z
"We @rakz_27 
@nifty_analysis
 know where #Nifty and #BankNifty is heading tomorrow and this week, check your newsletters #Bhoomians this may surprise you ",2022-01-09T20:30:27.000Z
#NIFTY#BANK NIFTY#MARKET MANY GANN+ MANY TECHNICAL ANALYST NOW TELLING IN ADVANCE BEARISH  FROM TOMORROW BUT AS PER MY VIEW I MENTIONED IN PREVIOUS TWEET THAT MONDAY AFTER GAP UP OPENING SOME PROFIT BOOKING TAKE MARKET LITTLE LOWER BUT I M NOT BEARISH FROM NOW. OM NAMAH SHIVAY.,2022-01-09T20:30:27.000Z
Read the story of #relaxo . You will fall in love with the company. #nifty #sensex,2022-01-09T20:30:27.000Z
Very few people hold a stock for 5 years leave alone 10 years. You need that kind of patience to be really rich. Very less to do with luck. If you are constantly observing great quality stocks it’s a simple game. Easy to pick top 15 out of nifty 100. #nifty #sensex,2022-01-09T20:30:27.000Z
"In hourly we got sideways corrective in wave 2 so wave 4 will be in triangle which i am betting at or it will be sideways but in case of sideways we should have crossed 18000 without zig zag

Till now its not done and on small timeframes complex structure is developing 

#Nifty",2022-01-09T20:30:27.000Z
If you can’t hold a stock for 10 years . Don’t hold it even for a day #sensex #nifty,2022-01-09T20:30:27.000Z
"We have just emailed “Deep Value” our weekly report which includes most accurate levels on 4 major financial markets for the upcoming week  #Nifty #Banknifty #Nasdaq #DAX to all our Bhoomi 2.0 Maya, NSE and Indices subscribers 

Levels on #MCX and #Commodities tomorrow 3pm",2022-01-09T20:30:27.000Z
"Elliot wave rule: if wave 2 is simple then wave 4 will be complex so we got complex corrective in nifty daily

#Nifty",2022-01-09T20:30:27.000Z
Even the stop clock show correct time twice that’s how people are drawing lines in #Nifty,2022-01-09T20:30:27.000Z
" WEEKLY PERFORMANCE 

03/01/2022  --SUCCESS RATE: 100%
04/01/2022   --S R: 60%
05/01/2022  -- S R: 100%
06/01/2022   --S R: 100%
07/01/2022   --S R: 70%

#Nifty #StockMarket #Intraday #ShareMarket
#IntradayCalls #IntradayTips #FreeIntradayCalls",2022-01-09T20:30:27.000Z
"#Nifty Time Analysis Pressure Dates

NIFTY As per time analysis 10/14 January is Pressure date, impulsive move can be seen around these dates.",2022-01-09T20:30:27.000Z
"#Nifty #Banknifty 
Without faith you get nothing.",2022-01-09T20:30:27.000Z
"#Nifty #Banknifty 
What would Omicron do to the market ?
New highs coming.",2022-01-09T20:30:27.000Z
"This week's stocks that I'm going to invest in - 
1) Nalco
2) S.P. apparels  
3) Vardhaman Special steel
4) Redington 
Target is to outperform Nifty and Smallcap 250 indices.
#investing
#nifty #banknifty",2022-01-09T20:30:27.000Z
"Multiple ways to try before you buy: follow this Twitter account to get 1 week's free access, or choose from very low trial offers starting at Rs. 100 only. A new way to be profitable in option trading by only buying options.

#Nifty #OptionsTrading #optiontrading #algotrading",2022-01-09T20:30:27.000Z
"Most of the people has market knowledge.
But most of the people has less patience while trading. #nifty",2022-01-09T20:30:27.000Z
"Haven't Completed Your EPFO E-Nomination Process? Read What Is To Be Done

Employees' Provident Fund Organisation (EPFO) has extended the last date for completing the e-nomination process for its subscribers
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #T…",2022-01-09T20:30:27.000Z
Premiums are too high  #Nifty #banknifty,2022-01-09T20:30:27.000Z
"#Nifty #Banknifty 
Without faith you get nothing.",2022-01-09T16:30:34.000Z
"#Nifty #Banknifty 
What would Omicron do to the market ?
New highs coming.",2022-01-09T16:30:34.000Z
"This week's stocks that I'm going to invest in - 
1) Nalco
2) S.P. apparels  
3) Vardhaman Special steel
4) Redington 
Target is to outperform Nifty and Smallcap 250 indices.
#investing
#nifty #banknifty",2022-01-09T16:30:34.000Z
"Multiple ways to try before you buy: follow this Twitter account to get 1 week's free access, or choose from very low trial offers starting at Rs. 100 only. A new way to be profitable in option trading by only buying options.

#Nifty #OptionsTrading #optiontrading #algotrading",2022-01-09T16:30:34.000Z
"Most of the people has market knowledge.
But most of the people has less patience while trading. #nifty",2022-01-09T16:30:34.000Z
"Haven't Completed Your EPFO E-Nomination Process? Read What Is To Be Done

Employees' Provident Fund Organisation (EPFO) has extended the last date for completing the e-nomination process for its subscribers
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #T…",2022-01-09T16:30:34.000Z
Premiums are too high  #Nifty #banknifty,2022-01-09T16:30:34.000Z
"Trading is not a job, its a business. #trading #nifty #Niftybank #OptionsTrading #daytrading",2022-01-09T16:30:34.000Z
"#NIFTY 

𝐎𝐮𝐭𝐥𝐨𝐨𝐤 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐰𝐞𝐞𝐤 𝐉𝐚𝐧 𝟏𝟎, 𝟐𝟎𝟐𝟐 

Will be covering multi-time frame analysis with Support Resistance points to watch out for the upcoming week",2022-01-09T16:30:34.000Z
"#StocksToTrade 

Buy ACC : target of Rs 2710: ICICI Securities 

#intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket",2022-01-09T16:30:34.000Z
"We faced wave 4 corrective on nifty daily chart recently in triangle corrective form (ABCDE)

Now on hourly wave iv is running with top of 17950

Already completed its AB as flat corrective now C will start if its equal to AB then 17350 will be target in fractals

#nifty",2022-01-09T16:30:34.000Z
#nifty #banknifty #dowjones #Reliance #ITC Reliance has purchased Hotel in New York fiber polypropylene oil & Gas telecom retail and now hospitality they are diversifying like ITC hope Reliance will become stable in stock market as well since too much diversification is poison,2022-01-09T16:30:34.000Z
"MGL, Peteonet LNG, GUJ gas suddenly gas stock charts looking good. Kya khichdi pak rahi hai? #nifty50 #nifty #sensex #StockMarket #stockstowatch #StocksInFocus 
@StocksResearch
 prem bhai, kuch analysis hai ispe?",2022-01-09T16:30:34.000Z
"#Nifty #Nifty50 #Banknifty 

ICICI Pru 583.80.

Buy. Positional.

Expecting to touch 800/935 in 3/5 months.

Analyse & Trade.",2022-01-09T16:30:34.000Z
"Stocks that i will buy tomorrow :

1. JINDAL STEEL - Above 415

TARGET : 470/525

STOPLOSS : 360

2. HEROMOTOCORP @ 2500

TARGET : 2780/3000

STOPLOSS : 2300

#Trading #Nifty",2022-01-09T16:30:34.000Z
"#Nifty IT, as we discussed about #Nasdaq. It was seen very weak. So it was going down side. After TCS infy result it will again sell on rise. #Banking is looking very weak. Some news as well default on db reality. It was continuing up circuit. Now it will go where you know.",2022-01-09T16:30:34.000Z
"#StocksToTrade 

Buy Grasim; target of Rs 2050: Motilal Oswal 

#intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket",2022-01-09T16:30:34.000Z
"Technically, #dowjones is at the brink of a steep correction , whether it will have a cascading effect on #NIFTY parallelly is uncertain, eventually it will catch up though!",2022-01-09T16:30:34.000Z
#Market #Nifty is looking weak. #Global data is not looking very good. #US inflation data will come as well. If inflation goes up then emerging market not sustain on up side. It will go down side. Be cautious...,2022-01-09T16:30:34.000Z
You are ok to put 10 lakh in FD at 3% post tax.. but not in relatively safe stocks which most likely will get you 10-12% atleast .. in stocks everyone suddenly wants 50-100% returns every year. Won’t happen always #sensex #nifty #stocks,2022-01-09T16:30:34.000Z
Great stocks are always expensive. Live with it. Don’t expect Great discounts always. And don’t miss if at all you get them #nifty #sensex #stocks,2022-01-09T16:30:34.000Z
I don’t buy luxury on loans.. always through the assets I’ve built #stocks #nifty #sensex,2022-01-09T16:30:34.000Z
"Amazon Challenges CCI's Suspension Of 2019 Future Deal

Amazon has filed an appeal in the NCLAT against the Competition Commission of India's order that suspended the approval for its Future Coupons deal
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #Tradi…",2022-01-09T16:30:34.000Z
"Max #sharemarket experts around me talk about market has rallied a lot.. They predict #nifty to be again down 500 point everytime, every week !! Hadd hai! 
#मनदडिए Vs #तेजडिए!!",2022-01-09T16:30:34.000Z
"I am expecting multi-bagger returns from Antony Waste Handling Cell Ltd. Most of the multi-baggers have few things in common.

#MultiBagger #Nifty #AWHCL #StocksToBuy #stockstowatch #sharemarket",2022-01-09T16:30:34.000Z
"Stocks that i will buy tomorrow :

1. JINDAL STEEL - Above 415

TARGET : 470/525

STOPLOSS : 360

2. HEROMOTOCORP @ 2500

TARGET : 2780/3000

STOPLOSS : 2300

#Trading #Nifty",2022-01-09T14:52:52.000Z
"#Nifty IT, as we discussed about #Nasdaq. It was seen very weak. So it was going down side. After TCS infy result it will again sell on rise. #Banking is looking very weak. Some news as well default on db reality. It was continuing up circuit. Now it will go where you know.",2022-01-09T14:52:52.000Z
"#StocksToTrade 

Buy Grasim; target of Rs 2050: Motilal Oswal 

#intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket",2022-01-09T14:52:52.000Z
"Technically, #dowjones is at the brink of a steep correction , whether it will have a cascading effect on #NIFTY parallelly is uncertain, eventually it will catch up though!",2022-01-09T14:52:52.000Z
#Market #Nifty is looking weak. #Global data is not looking very good. #US inflation data will come as well. If inflation goes up then emerging market not sustain on up side. It will go down side. Be cautious...,2022-01-09T14:52:52.000Z
You are ok to put 10 lakh in FD at 3% post tax.. but not in relatively safe stocks which most likely will get you 10-12% atleast .. in stocks everyone suddenly wants 50-100% returns every year. Won’t happen always #sensex #nifty #stocks,2022-01-09T14:52:52.000Z
Great stocks are always expensive. Live with it. Don’t expect Great discounts always. And don’t miss if at all you get them #nifty #sensex #stocks,2022-01-09T14:52:52.000Z
I don’t buy luxury on loans.. always through the assets I’ve built #stocks #nifty #sensex,2022-01-09T14:52:52.000Z
"Amazon Challenges CCI's Suspension Of 2019 Future Deal

Amazon has filed an appeal in the NCLAT against the Competition Commission of India's order that suspended the approval for its Future Coupons deal
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options #Tradi…",2022-01-09T14:52:52.000Z
"Max #sharemarket experts around me talk about market has rallied a lot.. They predict #nifty to be again down 500 point everytime, every week !! Hadd hai! 
#मनदडिए Vs #तेजडिए!!",2022-01-09T14:52:52.000Z
"I am expecting multi-bagger returns from Antony Waste Handling Cell Ltd. Most of the multi-baggers have few things in common.

#MultiBagger #Nifty #AWHCL #StocksToBuy #stockstowatch #sharemarket",2022-01-09T14:52:52.000Z
"#Deltacron, Omricon, Popcron, Lolicron. Soon #Dhoncron In India!!! ;) #Nifty #Sensex",2022-01-09T14:52:52.000Z
"#StocksToTrade 

Buy Titan Company: target of Rs 2900: Sharekhan 

#intraday #trading #daytrading #Nifty #sensex #stockstowatch #StockMarket",2022-01-09T14:52:52.000Z
"Adani New Industries Limited To Foray Into Green Energy Segment

Adani Enterprises has formed a new wholly-owned subsidiary named Adani New Industries Limited (ANIL) which will undertake green hydrogen projects
#Nifty #stock #stockmarket #NSE #BSE #TechnicalAnalysis #Options…",2022-01-09T14:52:52.000Z
"How much social media help you in your trading/investing?
#nifty #NIFTYFUTURE",2022-01-09T14:52:52.000Z
"Experience technology, experience YONO Lite.",2022-01-09T14:52:52.000Z
"#nifty50 analysis for January 10, 2022

#Nifty could see a green opening as global cues ended flat. The Index could consolidated before crossing 18000. Resistance seen at 17900 and 17950. Support seen at 17800 and 17700. 

#banknifty #NiftyBank",2022-01-09T14:52:52.000Z
Looks like the entire year will be moving in the range of 16400 to 18300.. #Nifty,2022-01-09T14:52:52.000Z
"3 Big Calls for 2022 !!!
 
- #India will attract record #FPI flows; 

- #India will be the best performing large #StockMarket in the world; and 

- #Nifty will at end of the year be > 22000  !!!",2022-01-09T14:52:52.000Z
